Handle,Title,Option1Name,Option1Value,Option2Name,size,Category,SUB,Vendor,SKU,Cost,Retail,Location,Onhand,ExtCost,ExtRetail
es-eos-shoe-black-white-turq,EOS Shoe - Black/White/Turquoise,Color,Black/White/Turq,size,8,Men's Footwear,Shoes,eS,50010000,$40.00 ,$79.99 ,Redlands,1,$40.00 ,$79.99 
es-eos-shoe-black-white-turq,EOS Shoe - Black/White/Turquoise,Color,Black/White/Turq,size,9.5,Men's Footwear,Shoes,eS,50010003,$40.00 ,$79.99 ,Redlands,2,$80.00 ,$159.98 
es-eos-shoe-black-white-turq,EOS Shoe - Black/White/Turquoise,Color,Black/White/Turq,size,9.5,Men's Footwear,Shoes,eS,50010003,$40.00 ,$79.99 ,Rancho,2,$80.00 ,$159.98 
es-eos-shoe-black-white-turq,EOS Shoe - Black/White/Turquoise,Color,Black/White/Turq,size,9,Men's Footwear,Shoes,eS,50010002,$40.00 ,$79.99 ,Rancho,3,$120.00 ,$239.97 
es-eos-shoe-black-white-turq,EOS Shoe - Black/White/Turquoise,Color,Black/White/Turq,size,9,Men's Footwear,Shoes,eS,50010002,$40.00 ,$79.99 ,Redlands,2,$80.00 ,$159.98 
es-eos-shoe-black-white-turq,EOS Shoe - Black/White/Turquoise,Color,Black/White/Turq,size,9.5,Men's Footwear,Shoes,eS,50010003,$40.00 ,$79.99 ,Temecula,2,$80.00 ,$159.98 
es-eos-shoe-black-white-turq,EOS Shoe - Black/White/Turquoise,Color,Black/White/Turq,size,8.5,Men's Footwear,Shoes,eS,50010001,$40.00 ,$79.99 ,Rancho,1,$40.00 ,$79.99 
es-eos-shoe-black-white-turq,EOS Shoe - Black/White/Turquoise,Color,Black/White/Turq,size,8,Men's Footwear,Shoes,eS,50010000,$40.00 ,$79.99 ,Rancho,2,$80.00 ,$159.98 
es-eos-shoe-black-white-turq,EOS Shoe - Black/White/Turquoise,Color,Black/White/Turq,size,8,Men's Footwear,Shoes,eS,50010000,$40.00 ,$79.99 ,Temecula,1,$40.00 ,$79.99 
es-eos-shoe-black-white-turq,EOS Shoe - Black/White/Turquoise,Color,Black/White/Turq,size,9,Men's Footwear,Shoes,eS,50010002,$40.00 ,$79.99 ,Temecula,-1,($40.00),($79.99)
0323-new-balance-foy-306-shoe,Foy 306 Shoe,Color,Sea Salt/Teal,Size,9.5,Men's Footwear,Shoes,New Balance,50023786.0,$45.00 ,$90.00 ,Rancho,2,$90.00 ,$180.00 
0323-new-balance-foy-306-shoe,Foy 306 Shoe,Color,Sea Salt/Teal,Size,12,Men's Footwear,Shoes,New Balance,50023791.0,$45.00 ,$90.00 ,Rancho,1,$45.00 ,$90.00 
0323-new-balance-foy-306-shoe,Foy 306 Shoe,Color,Sea Salt/Teal,Size,11.5,Men's Footwear,Shoes,New Balance,50023790.0,$45.00 ,$90.00 ,Temecula,1,$45.00 ,$90.00 
0323-new-balance-foy-306-shoe,Foy 306 Shoe,Color,Sea Salt/Teal,Size,11.5,Men's Footwear,Shoes,New Balance,50023790.0,$45.00 ,$90.00 ,Rancho,1,$45.00 ,$90.00 
0323-new-balance-foy-306-shoe,Foy 306 Shoe,Color,Sea Salt/Teal,Size,10.5,Men's Footwear,Shoes,New Balance,50023788.0,$45.00 ,$90.00 ,Rancho,2,$90.00 ,$180.00 
0323-new-balance-foy-306-shoe,Foy 306 Shoe,Color,Sea Salt/Teal,Size,10,Men's Footwear,Shoes,New Balance,50023787.0,$45.00 ,$90.00 ,Temecula,2,$90.00 ,$180.00 
0323-new-balance-foy-306-shoe,Foy 306 Shoe,Color,Sea Salt/Teal,Size,10,Men's Footwear,Shoes,New Balance,50023787.0,$45.00 ,$90.00 ,Rancho,2,$90.00 ,$180.00 
0323-new-balance-foy-306-shoe,Foy 306 Shoe,Color,Sea Salt/Teal,Size,9.5,Men's Footwear,Shoes,New Balance,50023786.0,$45.00 ,$90.00 ,Temecula,3,$135.00 ,$270.00 
0323-new-balance-foy-306-shoe,Foy 306 Shoe,Color,Black/White/Gum,Size,8,Men's Footwear,Shoes,New Balance,50023793.0,$45.00 ,$90.00 ,Rancho,-1,($45.00),($90.00)
0323-new-balance-foy-306-shoe,Foy 306 Shoe,Color,Black/White/Gum,Size,8.5,Men's Footwear,Shoes,New Balance,50023794.0,$45.00 ,$90.00 ,Temecula,1,$45.00 ,$90.00 
0223-dickies-westover-stripe-pocket-tee,Westover Stripe Pocket T-Shirt,Color,Dark Ivy,Size,M,Men's Apparel,T-shirts,Dickies,50023382.0,$11.40 ,$44.99 ,Rancho,2,$22.80 ,$89.98 
0223-dickies-westover-stripe-pocket-tee,Westover Stripe Pocket T-Shirt,Color,Chocolate Brown,Size,XL,Men's Apparel,T-shirts,Dickies,50023379.0,$11.40 ,$44.99 ,Rancho,3,$34.20 ,$134.97 
0223-dickies-westover-stripe-pocket-tee,Westover Stripe Pocket T-Shirt,Color,Chocolate Brown,Size,XL,Men's Apparel,T-shirts,Dickies,50023379.0,$11.40 ,$44.99 ,Redlands,2,$22.80 ,$89.98 
0223-dickies-westover-stripe-pocket-tee,Westover Stripe Pocket T-Shirt,Color,Chocolate Brown,Size,XL,Men's Apparel,T-shirts,Dickies,50023379.0,$11.40 ,$44.99 ,Temecula,1,$11.40 ,$44.99 
0223-dickies-westover-stripe-pocket-tee,Westover Stripe Pocket T-Shirt,Color,Chocolate Brown,Size,L,Men's Apparel,T-shirts,Dickies,50023378.0,$11.40 ,$44.99 ,Temecula,3,$34.20 ,$134.97 
0223-dickies-westover-stripe-pocket-tee,Westover Stripe Pocket T-Shirt,Color,Chocolate Brown,Size,L,Men's Apparel,T-shirts,Dickies,50023378.0,$11.40 ,$44.99 ,Redlands,2,$22.80 ,$89.98 
0223-dickies-westover-stripe-pocket-tee,Westover Stripe Pocket T-Shirt,Color,Chocolate Brown,Size,L,Men's Apparel,T-shirts,Dickies,50023378.0,$11.40 ,$44.99 ,Rancho,2,$22.80 ,$89.98 
0223-dickies-westover-stripe-pocket-tee,Westover Stripe Pocket T-Shirt,Color,Chocolate Brown,Size,M,Men's Apparel,T-shirts,Dickies,50023377.0,$11.40 ,$44.99 ,Temecula,1,$11.40 ,$44.99 
